iter	Passed	Remaining
427	1008	1347
428	1013	1348
429	1016	1346
430	1018	1343
431	1020	1341
432	1021	1338
433	1028	1340
434	1030	1338
435	1032	1335
436	1033	1331
437	1035	1328
438	1039	1328
439	1041	1325
440	1043	1322
441	1044	1318
442	1046	1315
443	1047	1312
444	1049	1308
445	1050	1305
446	1052	1302
447	1054	1299
448	1057	1297
449	1058	1294
450	1060	1290
451	1061	1287
452	1064	1284
453	1071	1288
454	1073	1285
455	1075	1282
456	1076	1279
457	1078	1275
458	1080	1272
459	1083	1271
460	1085	1268
461	1087	1266
462	1089	1263
463	1091	1260
464	1092	1257
465	1094	1254
466	1096	1252
467	1098	1249
468	1100	1246
469	1102	1243
470	1104	1240
471	1105	1236
472	1107	1233
473	1109	1231
474	1111	1228
475	1113	1225
476	1114	1222
477	1116	1219
478	1117	1215
479	1119	1212
480	1121	1209
481	1123	1207
482	1125	1204
483	1127	1201
484	1128	1198
485	1130	1195
486	1131	1192
487	1133	1189
488	1135	1186
489	1136	1183
490	1139	1181
491	1141	1178
492	1143	1175
493	1144	1172
494	1146	1170
495	1148	1167
496	1151	1165
497	1154	1163
498	1156	1161
499	1158	1158
500	1159	1155
501	1161	1151
502	1162	1148
503	1165	1146
504	1174	1150
505	1175	1147
506	1179	1146
507	1181	1144
508	1183	1141
509	1185	1139
510	1187	1136
511	1188	1133
512	1190	1130
513	1192	1127
514	1198	1128
515	1201	1126
516	1203	1123
517	1204	1121
518	1206	1118
519	1209	1116
520	1211	1113
521	1213	1110
522	1214	1107
523	1216	1105
524	1218	1102
525	1220	1099
526	1222	1096
527	1224	1094
528	1226	1092
529	1228	1089
530	1229	1086
531	1231	1083
532	1232	1079
533	1234	1076
534	1235	1073
535	1237	1071
536	1241	1070
537	1242	1067
538	1244	1064
539	1246	1061
540	1248	1059
541	1251	1057
542	1254	1055
543	1256	1053
544	1258	1050
545	1260	1047
546	1261	1044
547	1263	1042
548	1265	1039
549	1267	1037
550	1269	1034
551	1271	1031
552	1273	1029
553	1275	1026
554	1276	1023
555	1279	1021
556	1281	1019
557	1283	1016
558	1284	1013
559	1286	1010
560	1287	1007
561	1289	1004
562	1291	1002
563	1293	1000
564	1295	997
565	1297	994
566	1299	992
567	1301	989
568	1303	987
569	1304	984
570	1307	982
571	1309	980
572	1311	977
573	1312	974
574	1314	971
575	1315	968
576	1317	965
577	1318	962
578	1322	961
579	1324	959
580	1326	956
581	1328	954
582	1330	951
583	1331	948
584	1333	946
585	1336	943
586	1338	941
587	1339	938
588	1341	936
589	1343	933
590	1344	930
591	1346	927
592	1347	924
593	1352	924
594	1354	921
595	1355	919
596	1357	916
597	1359	913
598	1360	910
599	1361	907
600	1364	905
601	1366	903
602	1367	900
603	1369	897
604	1370	895
605	1373	892
606	1374	890
607	1377	888
608	1380	886
609	1383	884
610	1384	881
611	1386	879
612	1388	876
613	1390	874
614	1393	872
615	1396	870
616	1399	868
617	1402	866
618	1404	864
619	1407	862
620	1409	860
621	1411	858
622	1413	855
623	1415	852
624	1417	850
625	1419	848
626	1422	846
627	1424	844
628	1426	841
629	1428	838
630	1430	836
631	1431	833
632	1434	831
633	1437	829
634	1439	827
635	1441	825
636	1444	823
637	1446	820
638	1449	818
639	1452	817
640	1455	814
641	1456	812
642	1458	809
643	1460	807
644	1462	805
645	1464	802
646	1466	800
647	1467	797
648	1469	794
649	1471	792
650	1472	789
651	1474	786
652	1475	784
653	1479	782
654	1481	780
655	1482	777
656	1484	774
657	1485	772
658	1486	769
659	1488	766
660	1489	764
661	1491	761
662	1493	759
663	1495	756
664	1497	754
665	1498	751
666	1499	748
667	1501	746
668	1502	743
669	1505	741
670	1507	739
671	1509	736
672	1510	733
673	1511	731
674	1512	728
675	1514	725
676	1515	723
677	1516	720
678	1520	718
679	1522	716
680	1524	713
681	1525	711
682	1527	708
683	1529	706
684	1530	704
685	1533	701
686	1535	699
687	1536	696
688	1538	694
689	1539	691
690	1542	689
691	1543	687
692	1546	685
693	1549	683
694	1551	680
695	1552	678
696	1554	675
697	1555	673
698	1556	670
699	1558	667
700	1559	665
701	1563	663
702	1564	661
703	1566	658
704	1568	656
705	1570	653
706	1571	651
707	1573	648
708	1577	647
709	1579	644
710	1580	642
711	1582	639
712	1583	637
713	1585	634
714	1586	632
715	1588	629
716	1591	628
717	1593	625
718	1595	623
719	1596	620
720	1598	618
721	1599	615
722	1601	613
723	1602	610
724	1606	609
725	1608	607
726	1610	604
727	1612	602
728	1614	600
729	1616	597
730	1617	595
731	1621	593
732	1622	591
733	1624	588
734	1625	586
735	1626	583
736	1628	581
737	1630	578
738	1631	576
739	1634	574
740	1636	571
741	1637	569
742	1639	567
743	1640	564
744	1642	562
745	1644	559
746	1645	557
747	1647	555
748	1650	553
749	1651	550
750	1653	548
751	1654	545
752	1655	543
753	1657	540
754	1658	538
755	1660	535
756	1661	533
757	1664	531
758	1666	529
759	1667	526
760	1668	524
761	1670	521
762	1671	519
763	1673	516
764	1674	514
765	1676	512
766	1680	510
767	1681	508
768	1683	505
769	1684	503
770	1686	500
771	1687	498
772	1689	496
773	1691	493
774	1694	491
775	1696	489
776	1698	487
777	1699	485
778	1701	482
779	1702	480
780	1704	477
781	1706	475
782	1708	473
783	1709	471
784	1711	468
785	1712	466
786	1714	463
787	1715	461
788	1717	459
789	1718	456
790	1721	454
791	1723	452
792	1724	450
793	1726	447
794	1728	445
795	1730	443
796	1732	441
797	1736	439
798	1738	437
799	1739	434
800	1741	432
801	1742	430
802	1744	427
803	1745	425
804	1746	423
805	1748	420
806	1751	418
807	1752	416
808	1754	414
809	1755	411
810	1756	409
811	1758	407
812	1760	404
813	1761	402
814	1764	400
815	1766	398
816	1768	396
817	1769	393
818	1771	391
819	1772	389
820	1773	386
821	1775	384
822	1777	382
823	1779	380
824	1781	377
825	1782	375
826	1784	373
827	1785	370
828	1787	368
829	1788	366
830	1789	363
831	1791	361
832	1793	359
833	1794	357
834	1796	355
835	1798	352
836	1800	350
837	1801	348
838	1802	345
839	1804	343
840	1805	341
841	1808	339
842	1809	337
843	1811	334
844	1812	332
845	1814	330
846	1815	327
847	1817	325
848	1818	323
849	1819	321
850	1822	319
851	1823	316
852	1825	314
853	1826	312
854	1828	310
855	1829	307
856	1831	305
857	1832	303
858	1834	301
859	1836	299
860	1838	296
861	1840	294
862	1841	292
863	1842	290
864	1844	287
865	1845	285
866	1846	283
867	1849	281
868	1852	279
869	1853	276
870	1855	274
871	1856	272
872	1857	270
873	1859	268
874	1860	265
875	1861	263
876	1864	261
877	1866	259
878	1868	257
879	1869	254
880	1870	252
881	1872	250
882	1873	248
883	1874	246
884	1876	243
885	1880	242
886	1882	239
887	1884	237
888	1885	235
889	1887	233
890	1889	231
891	1890	228
892	1893	226
893	1895	224
894	1897	222
895	1899	220
896	1900	218
897	1903	216
898	1905	214
899	1909	212
900	1911	209
901	1913	207
902	1917	205
903	1926	204
904	1928	202
905	1929	200
906	1931	198
907	1933	195
908	1935	193
909	1942	192
910	1943	189
911	1946	187
912	1949	185
913	1952	183
914	1956	181
915	1958	179
916	1959	177
917	1961	175
918	1963	173
919	1965	170
920	1968	168
921	1970	166
922	1974	164
923	1976	162
924	1978	160
925	1979	158
926	1982	156
927	1985	154
928	1986	151
929	1988	149
930	1990	147
931	1992	145
932	1997	143
933	1999	141
934	2001	139
935	2003	136
936	2005	134
937	2007	132
938	2009	130
939	2012	128
940	2014	126
941	2016	124
942	2017	121
943	2020	119
944	2021	117
945	2023	115
946	2026	113
947	2028	111
948	2029	109
949	2031	106
950	2032	104
951	2033	102
952	2035	100
953	2037	98
954	2038	96
955	2041	93
956	2043	91
957	2045	89
958	2048	87
959	2051	85
960	2057	83
961	2059	81
962	2062	79
963	2064	77
964	2066	74
965	2072	72
966	2074	70
967	2075	68
968	2077	66
969	2078	64
970	2080	62
971	2082	59
972	2086	57
973	2087	55
974	2089	53
975	2091	51
976	2093	49
977	2094	47
978	2096	44
979	2100	42
980	2102	40
981	2104	38
982	2105	36
983	2107	34
984	2109	32
985	2111	29
986	2115	27
987	2117	25
988	2120	23
989	2122	21
990	2124	19
991	2127	17
992	2132	15
993	2134	12
994	2136	10
995	2141	8
996	2143	6
997	2145	4
998	2148	2
999	2150	0
